,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Racine Ave & 18th St,30,7,14,1,0,14,12,20,41,41,29,33,41,41,43,60,36,38,68,36,35,34,62,29
Racine Ave & 35th St,2,1,0,1,1,10,1,1,1,0,3,6,6,3,6,7,11,11,6,11,5,10,8,8
Racine Ave & 65th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
Racine Ave & Fullerton Ave,39,26,24,13,17,13,26,56,80,46,95,115,139,134,108,142,154,169,189,184,140,125,61,63
Ritchie Ct & Banks St,13,13,8,3,1,17,47,95,90,65,61,70,71,67,66,80,113,155,144,90,57,44,24,29
Rockwell St & 63rd St,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,1,0,0,3,0,0,1,0
Rush St & Superior St,17,13,7,6,1,20,11,64,105,82,81,79,96,79,120,165,132,174,140,101,77,36,36,25
S Aberdeen St & W 106th St,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sangamon St & Washington Blvd,22,10,4,1,1,3,22,28,48,24,32,42,65,53,61,51,66,96,71,61,38,35,52,24
Sawyer Ave & Irving Park Rd,0,0,0,0,0,0,1,8,7,3,4,5,6,5,1,7,9,9,5,4,8,2,2,2
Sayre & Diversey,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Sedgwick St & Schiller St,20,5,4,0,1,3,22,37,51,20,28,33,37,33,26,33,36,46,47,23,19,14,25,14
Sedgwick St & Webster Ave,12,5,4,6,1,31,51,72,85,69,59,87,72,83,94,94,138,123,110,80,82,49,38,18
Seeley Ave & Garfield Blvd,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,1,1,3,0
Sheffield Ave & Fullerton Ave,51,42,16,13,19,12,28,56,91,97,121,159,168,196,179,207,231,275,276,181,138,128,129,88
Sheffield Ave & Willow St,21,7,5,3,1,3,28,62,45,38,46,42,76,74,64,66,90,133,146,110,67,43,23,26
Sheffield Ave & Wrightwood Ave,65,47,20,5,0,7,29,55,72,46,63,102,115,117,143,107,104,200,183,168,148,122,84,77
Spaulding Ave & 16th St,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,1,0,1,0,0,0
